GROUP;CODE;NAME;YEAR;ANTIGEN;ANTIGEN_DESCRIPTION;COVERAGE_CATEGORY;COVERAGE_CATEGORY_DESCRIPTION;TARGET_NUMBER;DOSES;COVERAGE
COUNTRIES;AFG;Afghanistan;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;1689680;1393058;82,45
COUNTRIES;ALB;Albania;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;29425;27677;94,06
COUNTRIES;DZA;Algeria;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;1090227;871944;79,98
COUNTRIES;AND;Andorra;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;;;
COUNTRIES;AGO;Angola;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;1023479;808579;79
COUNTRIES;AIA;Anguilla;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;169;137;81
COUNTRIES;ATG;Antigua and Barbuda;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;1053;1013;96
COUNTRIES;ARG;Argentina;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;696196;657230;94
COUNTRIES;ARM;Armenia;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;37216;35461;95
COUNTRIES;ABW;Aruba;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;1248;1206;97
COUNTRIES;AUS;Australia;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;;;
COUNTRIES;AUT;Austria;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;;;
COUNTRIES;AZE;Azerbaijan;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;137287;131813;96
COUNTRIES;BHS;Bahamas;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;4102;3659;89
COUNTRIES;BHR;Bahrain;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;19574;19574;100
COUNTRIES;BGD;Bangladesh;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;3225508;3722510;115,41
COUNTRIES;BRB;Barbados;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;2434;2060;85
COUNTRIES;BLR;Belarus;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;106313;104472;98,3
COUNTRIES;BEL;Belgium;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;;;
COUNTRIES;BLZ;Belize;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;6847;6630;97
COUNTRIES;BEN;Benin;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;359827;350740;97
COUNTRIES;BMU;Bermuda;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;587;510;87
COUNTRIES;BTN;Bhutan;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;11337;11140;98
COUNTRIES;BOL;Bolivia (Plurinational State of);2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;242227;214557;89
COUNTRIES;BIH;Bosnia and Herzegovina;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;30184;21610;71,6
COUNTRIES;BWA;Botswana;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;62953;49890;79
COUNTRIES;BRA;Brazil;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;2854295;2622197;92
COUNTRIES;VGB;British Virgin Islands;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;324;306;94
COUNTRIES;BRN;Brunei Darussalam;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;6236;6163;99
COUNTRIES;BGR;Bulgaria;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;59782;55521;92,9
COUNTRIES;BFA;Burkina Faso;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;777145;803019;103,33
COUNTRIES;BDI;Burundi;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;378062;331609;87,71
COUNTRIES;CPV;Cabo Verde;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;10496;10427;99,34
COUNTRIES;KHM;Cambodia;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;360033;373867;103,84
COUNTRIES;CMR;Cameroon;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;861979;611583;70,95
COUNTRIES;CAN;Canada;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;;;
COUNTRIES;CYM;Cayman Islands;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;713;641;90
COUNTRIES;CAF;Central African Republic;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;159801;115117;72
COUNTRIES;TCD;Chad;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;721246;504511;69,95
COUNTRIES;CHL;Chile;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;218918;204353;93
COUNTRIES;CHN;China;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;17446720;17200967;98,59
COUNTRIES;HKG;China, Hong Kong SAR;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;;;
COUNTRIES;MAC;China, Macao SAR;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;7718;7321;94,9
COUNTRIES;COL;Colombia;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;727193;692174;95
COUNTRIES;COM;Comoros;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;23328;17159;73,6
COUNTRIES;COG;Congo;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;218586;164542;75
COUNTRIES;COK;Cook Islands;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;228;228;100
COUNTRIES;CRI;Costa Rica;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;69248;65373;94
COUNTRIES;CIV;Côte d'Ivoire;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;968359;886850;92
COUNTRIES;HRV;Croatia;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;39651;36970;93,2
COUNTRIES;CUB;Cuba;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;120400;120396;100
COUNTRIES;CUW;Curaçao;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;1878;1678;89
COUNTRIES;CYP;Cyprus;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;9326;4469;
COUNTRIES;CZE;Czechia;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;;;96,41
COUNTRIES;PRK;Democratic People's Republic of Korea;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;335037;328882;98,2
COUNTRIES;COD;Democratic Republic of the Congo;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;3626556;3324172;91,7
COUNTRIES;DNK;Denmark;2018;MCV1;Measles-containing vaccine, 1st dose;ADMIN;Administrative coverage;62793;59264;94
